project code,project name,criticality,
700,CC MACRO,low,
7000000000,IFRS,low,
7F8,Iheat,low,
7H7,Security Validation,low,
7HG,GwIA_DA_POCs,low,
7J8,Darktrace,low,
7JK,Elasticsearch,low,
7KM,Platform Automation Testing,high,
7M4,PLC-IFRS,low,
7MD,ECAP,low,
7N7,PRUJourney,low,
7PC,Cloud DB,low,
7QU,Bindplane,low,
7RM,PVA-PruServices,high,
7TY,Payroll System (HR2),low,
7U9,GISP - ESAI,low,
7V6,CCFA,low,
7VS,IMP,low,
7W4,Jenkins,low,
7WD,Sahi,low,
7XP,PVA - ITO,low,
7YK,GT Operations Sandbox,low,
7ZX,Smart Underwriting,low,
7ZZ,PLC IT,high,
829,SUNGL,low,
82A,Banca PAMB,low,
83K,pruexpert,low,
86Z,Kofax OCR,low,
87K,PRUHOUSE,high,
87P,PruAward,medium,
88D,Campaign Engine,low,
89S,PruNews,low,
8AH,CIS,low,
8AR,POC Kafka Platform,low,
8BS,GTE CF ISS Foundations (Azure/GCP),high,
8BX,Simple Policy Administration System (SPAS),medium,
8CY,Workflow,high,
8D3,IMLINKED,low,
8EV,Agent Funnel System,low,
8G5,Azure App insight,low,
8GB,One DPAS,low,
8HJ,EIS HERA 2.0,high,
8JA,AP,high,
8JJ,Win11 Cloud VDI - GIECA(E1301),high,
8KJ,TripWire,low,
8KX,MRS,high,
8M8,Collection System,high,
8NE,COUPA,low,
8PV,Numara,low,
8Q8,Financial Investment System,low,
8RW,Collection File converter,low,
8SE,PAL - PACS,low,
8UG,Epos,low,
8US,HR Feedback,low,
8V8,Splunk Integration,low,
8VN,McAfee,low,
8WH,VM Operations - MYLIFE,low,
8Z3,ChatUX,medium,
92P,PTPLA PRUForce,low,
938,Digital Platforms (DP),low,
93H,Shared Project,low,
93U,MMLIFE MICROSITE,low,
953,Single Enquiry Screen,low,
96Z,Partner Web,low,
97A,DevOps,low,
98M,VM Operations - THLIFE,low,
99F,PruShare,low,
99R,PRUINFO,low,
9B8,AML,low,
9BH,Magnum Pure,low,
9DA,EITH PVF Platform,high,
9FB,PAMB-IEP,low,
9G3,Jemma,low,
9HA,AICOE,low,
9J7,Jemma,low,
9J8,PVA-CMS,medium,
9JR,ePolicy,low,
9KP,PDC,low,
9MC,PruShoppe,low,
9MG,oracle,low,
9MU,Security Analytics,low,
9N9,PruAccess PACS,high,
9NK,Digital Platforms (DP),high,
9Q4,ALM,low,
9SV,iEMS,low,
9T5,Unified Observability Dashboard Service (Grafana OnePru),medium,
9TQ,LDAP,low,
9TT,Letters,low,
9V9,Kenya Applications,low,
9VV,myPrudential,medium,
9WF,Prophet CLS,low,
9Y7,IQS,low,
9YU,PLUK DevOps Tools,low,
A4B,Shared Redis for D2C Production,low,
A4D,Qliksense,low,
A5P,Payment Abstraction Layer,low,
A6M,File Server,low,
A72,IL_Transformer,low,
A7H,Messaging,low,
A7Y,Win11 Cloud VDI - pca(c2220),high,
A88,Quants,low,
AAD,PruDMTM,low,
AAE,APP BUILDER,high,
AAH,PLA,low,
AAT,IL AUTOMATION,low,
AAU,Policy Aggregation Service,high,
AB4,H2P,low,
ACA,PLUK-AMS,high,
ACW,TCA Database,high,
AD3,PDCMS,low,
AEN,Regional Claim System - RCS,medium,
AFX,EBS,high,
AG6,HRMS,low,
AGH,PVA-Epolicy,medium,
AGR,MLOps AICOE,low,
AH2,Jenkins BYOA,low,
AJG,ERecruitment Portal,medium,
AJH,VirtualGP,low,
AM6,GISP Shared Cluster,high,
AMS,PLUK Magnum Pure,low,
ANM,To be deleted - Prulife,high,
APP,PCLAB,medium,
APZ,iCM Inspire,low,
AQZ,Win11 Cloud VDI - R1500 Group Risk Oversight,high,
AR2,Electronic Direct Journal,low,
AR8,PrutopiaAppsAuthenticator,low,
ARQ,PVA - VIB ULP,medium,
ARX,AskPRU ChatBot,low,
ATM,IAMPRU Integration,low,
AU3,PruAI Lab Sandbox,low,
AUW,EIVN EastSpring Application,low,
AVG,Symphony Platform,high,
AVH,IBM ODM,low,
AVK,Payment Hub,low,
AVT,EITH MTF Platform,high,
AYG,PruServices,medium,
AZJ,Win11 Cloud VDI - MYLIFE,high,
AZK,RCC,low,
B2T,omni,low,
B4D,VM Operations - PCA,low,
B4W,Win11 Cloud VDI - PHL GTP Finance,high,
B7W,FFP A&R Workstream Project,high,
B7X,Prulife,high,
B85,FLEXIBEN,low,
B96,eSubmission monitoring,low,
BAV,EAI,low,
BAY,PRMS,low,
BC4,PruForce,medium,
BCQ,PruConnect,high,
BD2,Win11 Cloud VDI - pca (gh28800),high,
BDQ,CIC,low,
BE5,SSIS DEV,low,
BGG,Win11 Cloud VDI - plaz,high,
BHA,Qliksense,low,
BJJ,PruAI Lab Sandbox,low,
BKP,PHKL Github Migration,low,
BNX,Symphony,low,
BQE,Recruitment Portal,medium,
BRV,PACS,low,
BY7,EAI,medium,
BYV,AskPRU ChatBot,low,
C2F,CFS,low,
C2H,PAMB_DIST_CLOUD,low,
C2X,HKRBC,low,
C5P,tango,low,
C5W,APIM for PHLIFE (PLUK),high,
C68,PDAS,low,
C6S,Win11 Cloud VDI - PABC,high,
C9D,PHKLHHCLAIMSAPI,low,
CAF,Win11 Cloud VDI - pva,high,
CAM,CyberArk,low,
CB6,Life Goal (Prueshop),low,
CBV,PruForce,low,
CCX,IFRS,low,
CES,Win11 Cloud VDI - HKLIFE,high,
CF5,AMLA,low,
CFF,Monitoring,low,
CFJ,VM Operations - HKLIFE,low,
CFS,Prushoppe,low,
CGD,iFileClaims,low,
CHG,SOMS,low,
CM7,PruForce,low,
CNV,prutwlife buildout techinical,low,
CPS,RPA,low,
CPZ,PVA- Distribution Compensation,low,
CRC,AICOE,low,
CRN,GP Migration,high,
CSA,ITO-Altiris,low,
CTM,Smart Stream,low,
CTY,Azure - Global Firewall Rule for LBU Github Runner Private Networking,medium,
CUT,PruGenAI PACS,low,
CUV,Automation Pipeline,low,
CVY,ECorrespondence,high,
CWE,PVA - Self-Premium Calculator,medium,
CWS,Pulse Policy Explorer (PPE),low,
CXD,Actuary Server,low,
CXM,Unified Data Platform - UDP (aka. DataLake),low,
CYX,PVA-BCP,low,
CZC,enterprise,low,
D3X,SAM POC,medium,
D52,PLUK IT Security Service,low,
D5N,GSOC,low,
D75,PVA-PruGreat,medium,
D7Y,DynaTrace,low,
D8D,LPS and MIS,low,
D8F,SP,high,
DA4,PHKL Document Search Platform,low,
DAM,Branch Pack,low,
DBA,PSS Automation Hub,low,
DDH,Payment Platform,high,
DEH,iCommerce,low,
DEU,File Share,low,
DEV,Win11 Cloud VDI - pcla,high,
DF6,Win11 Cloud VDI - PCA (K1100),high,
DFT,Win11 Cloud VDI - MMLIFE,high,
DG7,Win11 Cloud VDI - Technology Risk Management CP24001,high,
DJF,Pru Hub,low,
DM3,PPMZ Applications,medium,
DPH,TellMe,low,
DPY,Oracle BI Publishers,low,
DQG,Unified Data Platform - UDP,low,
DRS,PLC OneStream,high,
DSA,IT SEC PORTAL,low,
DTK,Prophet,low,
DTQ,PVA - ITO,low,
DWN,Distribution Support e-Stock,low,
DX7,Pulse Microsite,low,
E7C,PCLA STP e-PolicyKit,medium,
E8M,PVA-Campaign,medium,
ED4,HP SiteScope,low,
EDD,PRUFast,high,
EDU,VDI,low,
EEB,GwIA TeamMate,low,
EFU,Platform Services,high,
EHN,CITS,low,
EK3,PC Printing System,low,
ENN,UDP Data Governance,low,
EP2,PRUForce,low,
EP7,ibm analytics,low,
EPP,PVA-ZNS,low,
ETA,GT DevOps,medium,
ETE,Inquiry Management System,high,
EUH,EITH MIS Platform,high,
EV3,Puppet Azure,high,
EWM,assurance,low,
EXM,Pru Life UK Hot House Repository,low,
EYS,EITH Special App System,high,
F2A,Kofax Signdoc,low,
F37,Unified Communication Platform,high,
F53,AIS,high,
F57,VM Operations - MYPBTB,low,
F7Y,Common Reporting Standard,low,
F86,PCALT OI,high,
F8H,RCC CRM,low,
F99,PHS,low,
F9Q,EISG MTMS Migration,high,
FAD,MiE University,low,
FAR,TKSV2,low,
FBD,GTE-Analytics,low,
FDR,CipherTrust,low,
FF6,IT Dashboard,low,
FFC,med-cms,low,
FH8,Pruchat,low,
FJA,CMS,medium,
FJW,eOR,low,
FK2,Infrastructure,low,
FKC,PVA - PruSecurity,low,
FMZ,Apache,low,
FPH,Statistical Analysis System(SAS) business intelligent(BI) Tool,medium,
FPK,Life Goal (Prueshop),low,
FRD,Magnum,medium,
FSQ,Dynatrace,low,
FTB,EIS (Enterprise Integration Services),low,
FTJ,AS400,low,
FTW,Group Account System,high,
FUE,SiRegen IL,low,
FW4,Power BI Data Gateway,low,
FWJ,PVA - ITO,low,
FX5,Quantexa,low,
FXH,PD Platform,high,
FYW,EFM,low,
FZ8,STT,low,
FZQ,prusglife buildout technical,low,
G47,SAAS,low,
G4R,Jimmy IT Integrated Dashboard,low,
G5T,SQS Offline,low,
G6A,PACS AKS Infrastructure,high,
G6H,Corporate Website (SiteCore),low,
G6K,AICOE,low,
G8T,DevOps Engineering,low,
G9H,PVA-Magnum 4x,low,
G9Q,adf and ssisdb,low,
GA6,eDoc,low,
GAB,PROPSYS,low,
GAT,SAAM,high,
GBA,Data Science,low,
GCK,VTS,low,
GD3,APIM - EITH PVD Digital Platform,high,
GFS,Premium Collection Web Backend Services - PCWeb,medium,
GG2,Business Process Manager,medium,
GG3,Splunk Integration,low,
GGU,Threat and Vulnerability Management,low,
GJE,Domain Controllers,low,
GJH,PCAMI,low,
GKG,VIBER BOT,low,
GM9,SAWF,medium,
GPM,Workflow,low,
GPQ,Pacsnet,low,
GSE,CyberArk,high,
GSN,PCLACSCMP,medium,
GTX,MPP,OLD DIST,GITHUB-GTX-Viewers
GUB,DPAS,low,
GUE,EBS - Enterprise Business Solutions,low,
GUJ,Win11 Cloud VDI - afr,high,
GV6,FCRM,medium,
GW3,CARA Testing,low,
GW8,GTE Cloud Economics,low,
GXA,sunsystems6,low,
GXX,PaC testing for GitHub,low,
GY9,Win11 Cloud VDI - LALIFE,high,
GZ2,SNOW License Manager and Inventory,high,
GZ9,PVD,low,
GZU,Win11 Cloud VDI - pca (D1600),high,
H34,Ghana Applications,low,
H3X,Investment Marketing Portal,low,
H5D,Centralized Screen System,low,
H5G,IAMPRU,low,
H63,GISP Splunk,low,
H67,PVA - IFRS17 - UDA,medium,
H6Q,eForm,medium,
H6Z,UnderWriteMe (UME),high,
H77,Symphony Platform,medium,
H79,TBC,low,
H7Q,WebPoS,medium,
H92,E-Recruit,low,
HAY,One Pulse,low,
HCV,PLUK-GL,high,
HDF,Outstanding Requirements,low,
HEM,vormetric,high,
HFU,One Pulse,low,
HGA,GTE Cloud Enablement and Ignition Projects,low,
HH2,Front End,high,
HHZ,PCLABAU,medium,
HJA,Win11 Cloud VDI - platform build,high,
HJD,PruGenAI,low,
HJN,eRecruitment,low,
HKW,Videris,low,
HMN,PVA,medium,
HN3,eForms,low,
HNU,RPA Automation Anywhere,medium,
HNV,Magnum4.x UW,low,
HP8,EITH MTMS Migration,high,
HPY,PCLASERV,medium,
HQ8,pltint,low,
HQH,Mitracomm,low,
HQW,FATCA,low,
HR7,STP Claim,medium,
HXS,GTE Network Golden Config,low,
HYH,EIS Cloud & DevOps,low,
HYR,Group Compliance,low,
HZ2,WeDoKOL,low,
J2J,PCALT Cloud Migration,low,
J3R,PruMap,medium,
J46,PACS APIM,high,
J4Y,Win11 Cloud VDI - pss(tpp),high,
J5G,PAM,high,
J5V,PLT Webview,medium,
J6X,Prophet,low,
J76,Web Application,low,
J87,PruOne,low,
J8J,Orchestron,low,
J92,Notices Database,low,
JCK,FileServerCommon,low,
JCV,Green Lantern Coronavirus,low,
JD8,eACR,low,
JEJ,PBTB APIM,low,
JFD,PHKL PRUForce,low,
JG2,OPOE/OnePOS,medium,
JHH,PCA - Pulse For Operations,high,
JJQ,Win11 Cloud VDI - plt,high,
JN4,IWA-Internal Web Application,low,
JNE,RPA,low,
JNH,PVA - OCR Integration,medium,
JP7,Pulse Ops PostgreSQL,high,
JPN,PVA - Contact Strategy,high,
JPR,OnlineCC (CyberSource),high,
JPY,Training Management System - TMS portal,medium,
JQ3,Win11 Cloud VDI - pca (h1800),high,
JQR,DPES Refer2earn,medium,
JRP,Payment Services,high,
JUP,plt devdb pltint,low,
JVZ,IVRS,low,
JWB,ESB Services,medium,
JXQ,Win11 Cloud VDI - pss(rt),high,
JXY,IDSS,low,
JY3,PVA - ITO,medium,
JYH,TS LS,low,
JZ5,PVA-ESB,medium,
JZV,PLT Datalake,low,
K2F,E-Claim,medium,
K3S,PRUCoach,low,
K4H,PCLALIBS,medium,
K6D,DPAS,low,
K7K,Bank Reconcilation System,low,
K88,GSOCAutomation,low,
K8G,Win11 Cloud VDI - cth,high,
K8T,Engineering Templates,low,
K9C,eFiled - Smart claims Adjudication,low,
K9M,PLT eDocument Services,medium,
K9U,Win11 Cloud VDI - P1400,high,
KAD,SMS,low,
KB4,QlikSense,low,
KD8,PVA-MB,medium,
KEH,phlife - web application,low,
KFP,IOC Cloud Ops DevOps,high,
KFT,jumpbox,medium,
KH4,DBNet,low,
KHP,eaps-dp-pruquote,low,
KHQ,SCCM,low,
KHX,PRUCENTRE,low,
KJH,PMN,low,
KPD,sunGL Accounting System,low,
KRY,Datasharing,low,
KSK,chatbot,low,
KSZ,PRUBuddy,low,
KT7,Correspondence Batch Print,high,
KU4,Askpru Lite,low,
KXB,SpiderGate Call Recording File Manager,low,
KZK,VM Operations - AFRTSS,low,
KZZ,Pulse HotHouse,high,
M4C,PVADL,high,
M4Q,Network Detection and Response,low,
M5S,GTE Cloud Foundation Production Services,high,
M69,TMBAM Public Facing Applications,low,
M89,Zscaler Proxy,low,
MAR,ForgeRock,low,
MCV,ANH,low,
MD7,GPU OCR,low,
MDY,PruForce (COE),low,
MFA,Webapi,low,
MG4,Common Modules,low,
MHC,PRUReward,low,
MHV,SunGL,medium,
MJH,PruEntrepreneur,low,
MN2,Cloud Component Self Service Portal,high,
MNG,PRUBuddy,low,
MNR,PVA-Claim,medium,
MS2,DevSecOps,low,
MTJ,Automation Process,low,
MVE,Win11 Cloud VDI - 1AC,high,
MW9,File Uploader,high,
MWR,RTCIS Libraries,low,
MY7,Win11 Cloud VDI - VNLIFE,high,
MYB,Pruwayplus,high,
MYC,NB Workflow,high,
N2B,ACS,low,
N3M,PVA - ITO,low,
N5E,DPAS,low,
N6T,Prukasih,low,
N6Y,GTE CF Ansible Repositories (Playbooks and Roles),low,
N7M,PruConsent,low,
N7X,RAISe,low,
N9F,PBTB - PruBSN Navigator,low,
NA7,GISP SOAR,low,
NAY,MMLIFEPRUFP,low,
NCC,Backend Enablement,low,
NDF,PTPLA Cloud Infrastructure,high,
NE6,GICC Dynatrace,high,
NEN,Microsite,low,
NFS,MISP,low,
NHU,Core Technology,low,
NJM,CWS,high,
NJQ,PruPolicy,low,
NJT,DPAS,low,
NQQ,OneHealth App,medium,
NTS,CORS,low,
NXA,PVA-Newinvoice,medium,
NXF,AIS,low,
NYG,Scheduling and Monitoring,low,
NZB,Prophet,low,
NZT,Win11 Cloud VDI - THESIV,high,
P26,HR Payroll,low,
P2K,TE PAMB,medium,
P2N,CAPABILITY,low,
P3R,OnDemand,high,
P3Y,VM Operations - KHLIFE,low,
P55,Planner (New Project),low,
P59,OSS,low,
P69,Wealth,low,
P8D,NewPulse,high,
P8W,Cyberreason,high,
PA6,eFiled - Smart claims Adjudication,low,
PAW,Group Managed,low,
PDD,EIS,low,
PDN,PCLAM,medium,
PES,PVA-PruLead,medium,
PFC,GTE Cloud Foundation Infra Foundation,high,
PFN,LifeOpsDashboard,low,
PFQ,PruQuote,medium,
PGH,PACS Kafka Rest Proxy,low,
PJ9,Environment Isolation Deployment Project,high,
PJZ,FFP - Financial Data Repository (FDR),low,
PM4,PVA - AAMS,low,
PMZ,Win11 Cloud VDI - EIJP,high,
PN6,PULSE Webapp,low,
PNV,POC,low,
PPU,Security application,low,
PQ6,Customer Web Portal,medium,
PQ9,PBTB - SMS & Email Portal,low,
PQJ,Vormetric Encryption,low,
PRN,CC MACRO,low,
PSH,eApproval,high,
PT5,VEOSSystems,high,
PV3,AI/ML Platform,low,
PVJ,eForms,low,
PX5,PERSISTENCY,low,
PZA,Bank Recon System,high,
Q2C,McAfee,low,
Q5R,Workflow,low,
Q6P,SuperDW,low,
Q7J,CIS,low,
Q87,Finance Workflow,high,
Q8N,Pru Hub,low,
Q8S,Autorun,low,
QA2,Kofax,low,
QAU,Tango File Server,low,
QAW,TIMEPAGE,low,
QDD,Download Server Application,low,
QED,Win11 Cloud VDI - pss(gbs),high,
QF5,Microsite for e-Communication,low,
QF6,Partners,high,
QGM,eForms (FrontEnd),low,
QJV,Finance Encryption,low,
QMQ,RTC,low,
QN8,COMPRESS REP,low,
QNF,VM Operations - VNLIFE,low,
QNZ,Testing,low,
QQC,Magnum 4X,high,
QRJ,Win11 Cloud VDI - pacs,high,
QRY,VM Operations - PHLIFE,low,
QS4,PruTopia (Intranet),low,
QSN,MOSFIN,low,
QSR,PruSales,low,
QUG,PruGalaxy (VPMS),high,
QUU,Compliance and Vulnerability,low,
QVC,Software Engineering Templates,low,
QVH,GISP - SEO,high,
QZE,PFM(Par Fund Management),low,
QZM,PVA - ITO,low,
R3A,GISP,high,
R52,Modus,low,
R6X,Business@Pulse,medium,
R7U,ECAP Unify Solution,low,
R7X,mis,low,
R93,EBSME,low,
RAM,PruForce (COE),low,
RDQ,CMEK,low,
REB,MI AML,low,
RF7,UiPath - RPA Platform,low,
RFB,PruDMTM,high,
RFE,Nigeria Applications,low,
RFJ,MDP,low,
RFK,GTE CF Self-Service Tool - GCP IAM,medium,
RFS,UDP (Data Lake),medium,
RKG,PLUK Common SQLMI,low,
RKS,PrAccess,low,
RNH,MiE University,low,
RSW,eInvoice (PBTB),high,
RU4,CLIENT MONITOR,low,
RX3,FAS,high,
RY2,SendFiles,low,
RZT,Finance,low,
S5X,PCS,high,
S6A,GTE Cloud Foundation Team Sandbox,low,
S74,SQL Managed Instance,low,
SB7,eSubmission PA,high,
SBE,Ruby Advice,low,
SE7,PAMB - PRUinfo Plus and PRUinfo Partner,low,
SFK,sample demo,low,
SGJ,PCA,medium,
SGW,Room Booking System,low,
SH2,Win11 Cloud VDI - pca (l1300),high,
SHT,PAMTC WEBSITE,low,
SJU,IOT COE,low,
SKH,DPAS,low,
SMA,Campaign Master,medium,
SMV,PSP,low,
SN2,Whatsapp Business,low,
SNX,Wealth,low,
SQ4,Global Secret Mngt Service (HashiCorp Vault),high,
SQP,PLTPN,low,
SQV,PruPlus,high,
SR7,PTPLA Power BI Data Gateway,low,
SRZ,EIS GBWM,low,
SSC,IGOAL,high,
SSZ,Failure Demand,low,
STH,PLAL - Microsite,low,
SUX,DCMS Integration,low,
SWC,CS Logic app,low,
SWG,Sharepoint Online,low,
SY4,Network Detection and Response,low,
SYG,GTE PMA - Azure Data Stack,low,
SZQ,DCMS,low,
SZU,PCLASTP,medium,
T2K,PruForce,high,
T47,Splunk Integration,low,
T6U,PULSE,low,
T8P,iFileClaim,low,
T9D,Customer Non Pulse,high,
T9E,VDI,low,
TAQ,IFRS 17,medium,
TB9,PLT,low,
TBR,PAMB-HAS,low,
TC8,PCLAPSEZ,medium,
TDH,PruLifeUK Claims Management System,high,
TDV,GTP-Finance Test CoE,low,
TE8,IAC,low,
TER,Digital Service,low,
TET,CM and CMOD Cloud Migration,medium,
TGJ,SFS,low,
TGT,Calculator,low,
TJ6,Network Detection and Response,low,
TJT,IBSOIC Gateway,low,
TKA,Remote Desktop Gateway,low,
TN3,Pruone Workflow,high,
TPG,Win11 Cloud VDI - pca (k1100),high,
TPK,OPM Reports,low,
TQG,Automation,low,
TS9,Ruby Advice,low,
TSY,hklife esso,low,
TTF,Anaplan,low,
TTG,PRUGENius,high,
TX3,PHKL PRUServices,high,
TYY,PruThiDau,medium,
TZW,Asset Master,low,
U46,BitBucket Archive,low,
U5X,Workflow,high,
U62,GTE CF Self-Service Tool - Vault IAM,medium,
U67,Agency eBriefcase,low,
U69,Win11 Cloud VDI - rits,high,
U6M,Simple CRM,low,
U6X,RITS,low,
U7B,esso,low,
U8D,Win11 Cloud VDI - MYPBTB,high,
U9F,Security,low,
UAH,EBSME,low,
UAJ,ePA,high,
UCD,Partner PAMB,low,
UCY,CAP Cloud Migration,low,
UDG,Pulse-Messaging-Service,high,
UDK,Teams,low,
UE7,PruBooking,low,
UEH,VM Operations - RTPRU1,low,
UFJ,PruForce,medium,
UG8,NUIX,medium,
UGH,Core System,high,
UHH,CONTACTS,low,
UJP,Win11 Cloud VDI - pca (e1301),high,
UJQ,ES 3.0 ODM,high,
UJU,Underwriting eDatasheet,low,
UKB,IOC Cloud Ops,low,
UMJ,PLUK UDP,low,
UMY,Online Quotation Application,high,
UP7,Win11 Cloud VDI - P1401,high,
URM,Integration Platform Services,high,
URX,PAMTCAdmin,low,
US7,PAMB - SI Regen,low,
USE,AIDA AI,low,
USV,IDMS, DMS (DB,
UTF,PVA - PRUfrontend,low,
UTK,Project Platform Services,high,
UUM,PRUWorks,high,
UUR,Business Automation Workflow,medium,
UVJ,AES,high,
UVK,datalake,low,
UY3,sub and release,low,
UZU,Actuarial,low,
V2K,GISP EPT API,low,
V47,Zambia Applications,low,
V49,BACK TO PRU,low,
V4E,AICoE Smart Claim,low,
V4P,Operator Server,low,
V68,Pulse Health,low,
V69,EISG Dataparser,medium,
V6Y,PruCashier,medium,
V85,E-Printing,medium,
V99,HR File Server,low,
V9P,Underwriting Aggregation Program,medium,
VAK,PruPay,high,
VCJ,Kenya Applications,low,
VEN,Win11 Cloud VDI - pamb,high,
VGE,PruAwesomeHub,medium,
VHS,Bank Reconcile,low,
VJJ,ePOS,high,
VJP,PAMB-CWP,low,
